Batch_ID,Time_Minute,Vessel_Pressure_Bar,Retort_Env_Temp_C,Product_Core_Temp_C,Accumulated_P_Value,Commercial_Sterility_Status,Process_Deviation_Flag
1,0,1.002,26.75,26.6,0.0,1,0
1,1,0.987,27.45,26.65,0.0,1,0
1,2,1.007,28.72,26.75,0.0,1,0
1,3,0.999,30.51,26.97,0.0,1,0
1,4,0.984,33.15,27.3,0.0,1,0
1,5,1.034,36.3,27.63,0.0,1,0
1,6,1.034,39.5,28.19,0.0,1,0
1,7,0.965,42.89,28.96,0.0,1,0
1,8,0.959,46.56,29.87,0.0,1,0
1,9,1.002,50.24,30.95,0.0,1,0
1,10,1.021,54.15,32.31,0.0,1,0
1,11,1.036,58.23,33.66,0.0,1,0
1,12,1.008,62.63,35.46,0.0,1,0
1,13,1.003,67.29,37.23,0.0,1,0
1,14,0.975,71.37,39.16,0.0,1,0
1,15,0.992,75.79,41.16,0.0,1,0
1,16,1.028,79.33,43.18,0.0,1,0
1,17,1.005,82.79,45.41,0.0,1,0
1,18,0.995,85.73,47.63,0.0,1,0
1,19,1.001,88.33,49.84,0.0,1,0
1,20,1.023,90.55,52.17,0.0,1,0
1,21,1.162,92.32,54.2,0.0,1,0
1,22,1.173,93.51,56.41,0.0,1,0
1,23,1.248,94.77,58.4,0.0,1,0
1,24,1.375,95.77,60.52,0.0,1,0
1,25,1.354,96.75,62.53,0.0,1,0
1,26,1.444,97.18,64.44,0.0,1,0
1,27,1.505,97.95,66.33,0.0,1,0
1,28,1.536,98.19,68.14,0.0,1,0
1,29,1.536,98.49,69.77,0.0,1,0
1,30,1.603,98.87,71.42,0.0,1,0
1,31,1.658,99.1,72.92,0.0,1,0
1,32,1.672,99.19,74.27,0.0,1,0
1,33,1.684,99.28,75.8,0.0,1,0
1,34,1.692,99.43,77.02,0.0,1,0
1,35,1.761,99.63,78.09,0.0,1,0
1,36,1.765,99.91,79.28,0.0,1,0
1,37,1.768,99.94,80.35,0.035,1,0
1,38,1.766,100.16,81.46,0.082,1,0
1,39,1.814,100.31,82.61,0.144,1,0
1,40,1.851,99.99,83.68,0.227,1,0
1,41,1.777,100.46,84.58,0.332,1,0
1,42,1.823,100.76,85.42,0.461,1,0
1,43,1.814,100.87,86.36,0.627,1,0
1,44,1.893,100.88,87.18,0.832,1,0
1,45,1.87,100.99,87.91,1.079,1,0
1,46,1.839,101.21,88.56,1.372,1,0
1,47,1.794,101.47,89.3,1.727,1,0
1,48,1.855,101.57,90.04,2.157,1,0
1,49,1.903,101.7,90.83,2.684,1,0
1,50,1.897,101.54,91.37,3.292,1,0
1,51,1.918,101.61,91.94,3.995,1,0
1,52,1.935,101.56,92.48,4.804,1,0
1,53,1.907,101.34,92.97,5.723,1,0
1,54,1.926,101.55,93.43,6.756,1,0
1,55,1.947,101.76,93.73,7.874,1,0
1,56,1.826,101.53,94.07,9.096,1,0
1,57,1.898,101.36,94.47,10.45,1,0
1,58,1.932,101.29,94.75,11.908,1,0
1,59,1.851,101.51,95.16,13.526,1,0
1,60,1.933,101.97,95.54,15.313,1,0
1,61,1.929,101.6,95.87,17.26,1,0
1,62,1.955,101.55,96.25,19.409,1,0
1,63,1.923,101.28,96.6,21.757,1,0
1,64,1.951,101.31,96.73,24.187,1,0
1,65,1.899,101.42,96.84,26.69,1,0
1,66,1.903,101.5,97.14,29.391,1,0
1,67,1.956,101.56,97.55,32.397,1,0
1,68,1.904,101.36,97.71,35.53,1,0
1,69,1.851,101.04,97.78,38.725,1,0
1,70,1.865,100.88,98.06,42.16,1,0
1,71,1.868,100.76,98.28,45.795,1,0
1,72,1.825,100.96,98.37,49.514,1,0
1,73,1.864,101.13,98.4,53.259,1,0
1,74,1.862,101.04,98.56,57.163,1,0
1,75,1.769,90.36,97.98,60.528,1,0
1,76,1.536,81.07,97.16,63.243,1,0
1,77,1.342,73.43,95.89,65.196,1,0
1,78,1.335,67.11,94.27,66.482,1,0
1,79,1.186,61.52,92.45,67.284,1,0
1,80,1.129,56.63,90.52,67.771,1,0
1,81,1.151,52.24,88.36,68.05,1,0
1,82,1.048,49.26,86.17,68.207,1,0
1,83,1.088,46.3,84.0,68.297,1,0
1,84,1.103,44.28,81.85,68.349,1,0
1,85,1.022,42.05,79.68,68.349,1,0
1,86,1.022,40.11,77.49,68.349,1,0
1,87,1.055,38.47,75.31,68.349,1,0
1,88,1.007,37.62,73.21,68.349,1,0
1,89,1.015,36.58,71.46,68.349,1,0
2,0,1.021,26.82,27.1,0.0,1,0
2,1,0.997,27.6,27.17,0.0,1,0
2,2,1.027,28.89,27.28,0.0,1,0
2,3,0.989,30.74,27.41,0.0,1,0
2,4,1.011,33.35,27.85,0.0,1,0
2,5,1.026,36.23,28.26,0.0,1,0
2,6,0.946,39.42,28.81,0.0,1,0
2,7,1.035,42.52,29.5,0.0,1,0
2,8,0.988,46.46,30.39,0.0,1,0
2,9,1.028,50.3,31.48,0.0,1,0
2,10,0.993,54.14,32.79,0.0,1,0
2,11,0.982,58.44,34.17,0.0,1,0
2,12,0.946,63.04,35.82,0.0,1,0
2,13,0.964,67.23,37.63,0.0,1,0
2,14,0.979,71.78,39.55,0.0,1,0
2,15,1.053,76.23,41.38,0.0,1,0
2,16,1.018,79.96,43.54,0.0,1,0
2,17,1.006,83.46,45.68,0.0,1,0
2,18,1.035,86.28,47.97,0.0,1,0
2,19,1.066,88.47,50.12,0.0,1,0
2,20,1.056,90.02,52.42,0.0,1,0
2,21,1.116,91.74,54.51,0.0,1,0
2,22,1.196,93.46,56.69,0.0,1,0
2,23,1.222,94.68,58.65,0.0,1,0
2,24,1.314,95.64,60.7,0.0,1,0
2,25,1.379,96.71,62.7,0.0,1,0
2,26,1.433,97.88,64.65,0.0,1,0
2,27,1.568,98.8,66.6,0.0,1,0
2,28,1.527,99.18,68.46,0.0,1,0
2,29,1.582,99.69,70.15,0.0,1,0
2,30,1.612,100.17,71.64,0.0,1,0
2,31,1.739,100.44,73.25,0.0,1,0
2,32,1.767,100.75,74.87,0.0,1,0
2,33,1.766,100.83,76.28,0.0,1,0
2,34,1.809,100.99,77.54,0.0,1,0
2,35,1.827,101.05,78.84,0.0,1,0
2,36,1.822,100.63,79.95,0.0,1,0
2,37,1.842,100.75,81.11,0.043,1,0
2,38,1.836,101.16,82.23,0.099,1,0
